Ref,Function,Selected_part,Package,Support_population,State
S1,RGB camera sensor assembly,Raspberry Pi SA31VA30P,10.8x10.8mm assembly,"30-pin board connector; local rail filtering",PINMAP_SOURCE_IDENTIFIED
S2,IR global-shutter sensor,ams OSRAM Mira220 Q65114A0087,5.4x5.4mm CSP,"bias resistor; sequenced rails; output caps",PINMAP_SOURCE_IDENTIFIED
P1,940nm dot projector,ams OSRAM Belago1.2 Q65114A0198,4.2x3.6x3.325mm,"Sense1/Sense2 lens loop; pulse path",SAFETY_GATE
U1,Projector driver,ams OSRAM AS1170 Q65113A7129,WLCSP13 2.25x1.5mm,"1uH-class inductor; pulse storage; current programming",CALC_REQUIRED
U2,RGB 1.1V buck,AP3429KTTR-G1 baseline,SOT26,"inductor; feedback; input/output caps",REFERENCE_BASELINE
U3,RGB 1.8V LDO,AP7331 baseline,SOT23-5,"input/output caps",REFERENCE_BASELINE
U4,RGB 2.8V LDO,AP7331 baseline,SOT23-5,"input/output caps",REFERENCE_BASELINE
U5,IR 2.5V regulator,TBD,low-profile,"350mA startup capable; sequence control",SELECTION_REQUIRED
U6,IR 1.35V regulator,TBD,low-profile,"mode-current calculation; sequence control",SELECTION_REQUIRED
U7,IR 1.8V regulator,TBD,low-profile,"mode-current calculation; sequence control",SELECTION_REQUIRED
U8,Head temperature sensor,TBD,low-profile,"alert pull-up; local decoupling",SELECTION_REQUIRED
U9,Local safety/interlock logic,TBD,low-profile,"hardware AND/latch; pull-down; fault return",SAFETY_REVIEW
U10,Head identity device,TBD resistor or EEPROM,low-profile,"revision and calibration identity",SELECTION_REQUIRED
J1,51-contact dynamic-flex connector,Hirose FH26W-51S-0.3SHW(97),15.6x3.2x1.0mm,"MIPI protection strategy; power contacts",FLEX_GATE
J2,RGB assembly connector,Hirose DF37NC-30DS-0.4V baseline,30-position mezzanine,"mating and service access",MECHANICAL_GATE
L1,Projector boost inductor,TBD 1uH class,low-profile,"saturation and pulse-loss calculation",CALC_REQUIRED
C1-C20,Power and pulse capacitors,TBD,0201-0805,"AS1170 pulse loop and six local rails",CALC_REQUIRED
C21-C60,Sensor decoupling,TBD,0201/0402,"manufacturer placement requirements",PINMAP_REQUIRED
R1-R24,Bias configuration and damping,TBD,0201/0402,"Mira bias; enable defaults; clock/control damping",IN_PROGRESS
