Page,Sheet_name,Primary_refs,State,Closure_evidence
1,Cover_and_constraints,-,DEFINED,"Revision table; variants; 90 x 28 mm outline; safety labels"
2,USB-C_PD_and_VBUS,"J1 U10 U11 D1 D2 D9",DEFINED,"Official symbols; CC configuration; protection review"
3,System_and_motor_bucks,"U8 U9 L1 L2",DEFINED,"Calculated magnetics; compensation; thermal review"
4,PF09_PF53_power_tree,"U5 U6 U7 L3-L9",DEFINED,"NXP OTP/sequence review; rail calculation"
5,iMX95_power_and_decoupling,"U1 C120-C219",PINMAP_GATE,"Official 548-ball symbol; power audit"
6,iMX95_boot_clock_debug,"U1 Y1 J6",PINMAP_GATE,"Boot table; reset timing; debug review"
7,LPDDR4X,"U1 U4 C220-C259",DDR_GATE,"NXP DDR tool; Micron pin map; topology review"
8,eMMC_and_board_identity,"U15 U16",PINMAP_GATE,"Micron pin map; boot test; EEPROM address audit"
9,Face_camera_bridge,"U2 D3-D5",FPGA_GATE,"Radiant compile; csfBGA121 legal pin assignment"
10,Interaction_camera_bridge,"U3 D6-D8",FPGA_GATE,"Radiant compile; csfBGA121 legal pin assignment"
11,Face_head_interface,"J2 U21",FLEX_GATE,"51-pin flex drawing; impedance and current review"
12,Interaction_head_interface,"J3 U22",FLEX_GATE,"51-pin flex drawing; impedance and current review"
13,Motors_and_absolute_angle,"U13 U14 U18 U19 J4 J5",DEFINED,"Current limit; stall; encoder and ESD review"
14,Audio_tamper_thermal_misc,"MK1 SW1 U17 U20",DEFINED,"Acoustic keep-out; tamper fail state; address audit"
15,Test_and_manufacturing,"J6 TP1-TP32",DEFINED,"DFT review; no-fit list; rail-access review"
