Net_or_group,Source,Destination,Class,Nominal,State,Rule
HEAD_3V3,J1,U1/U2/U3/U4/U5/U6/U7,POWER,3.3V,DEFINED,"Input bulk and high-frequency bypass at connector"
RGB_1V1,U2,S1,POWER,1.1V,REFERENCE_BASELINE,"600mA design capacity; reference layout"
RGB_1V8,U3,S1,POWER,1.8V,REFERENCE_BASELINE,"50mA reference maximum"
RGB_2V8,U4,S1,POWER,2.8V,REFERENCE_BASELINE,"50mA reference maximum"
IR_2V5,U5,S2,POWER,2.5V,SEQUENCE_GATE,"350mA startup capacity"
IR_1V35,U6,S2,POWER,1.35V,SEQUENCE_GATE,"Finalize from selected sensor mode"
IR_1V8,U7,S2,POWER,1.8V,SEQUENCE_GATE,"Finalize from selected sensor mode"
RGB_CSI,S1,J1,DIFF_100,2lane,FLEX_GATE,"Clock plus two data lanes; continuous reference"
IR_CSI,S2,J1,DIFF_100,2lane,FLEX_GATE,"Clock plus two data lanes; continuous reference"
RGB_MCLK,J1,S1,CLOCK,24MHz,DEFINED,"Source-terminated on main board"
IR_MCLK,J1,S2,CLOCK,24MHz,DEFINED,"Source-terminated on main board"
HEAD_I2C,J1,S1/S2/U1/U8/U10,LOW_SPEED,1.8/3.3V,ADDRESS_GATE,"Audit addresses and level domains; mux only if necessary"
RGB_RESET_N,J1,S1,CONTROL,default_low,DEFINED,"Sensor held safe during head power-up"
IR_RESET_N,J1,S2,CONTROL,default_low,DEFINED,"Observe Mira220 power sequence"
IR_TRIGGER,J1,S2,TIMING,logic,DEFINED,"External exposure trigger"
ILLUM_TRIGGER,S2,U9/U1,TIMING,logic,SAFETY_GATE,"Sensor timing may request pulse; cannot override interlock"
PROJECTOR_ENABLE,J1,U9/U1,SAFETY_CONTROL,default_low,SAFETY_GATE,"Pull-down on main and head; local hardware qualification"
BELAGO_PULSE,U1/P1,P1,HIGH_CURRENT_PULSE,700mA_class,SAFETY_GATE,"Shortest possible loop; never crosses flex"
LENS_SENSE,P1,U9/U1,SAFETY_CONTROL,resistive_loop,SAFETY_GATE,"Sense1/Sense2 open forces emitter off"
PROJECTOR_FAULT_N,U1/U9,J1,STATUS,open_drain,SAFETY_GATE,"Fail-aware return to trusted controller"
HEAD_TEMP_ALERT_N,U8,J1,STATUS,open_drain,DEFINED,"Thermal event inhibits capture/emission"
HEAD_ID,U10,J1,IDENTITY,logic,DEFINED,"Board revision and calibration association"
