Ref,Function,Selected_part,Side,Package_status,Support_population,Electrical_state
J1,USB-C receptacle,Hirose CX90M3-24P,Top,MECHANICAL_CONFLICT,"shell bonds; CC and data protection",BLOCKED
U10,VBUS eFuse,TI TPS259472LRPWR,Top,VERIFY_LAND_PATTERN,"ILIM; dVdt; IMON; bypass caps",DEFINED
U11,USB-PD sink,Infineon CYPD3177-24LQXQ,Top,VERIFY_LAND_PATTERN,"CC network; configuration; HPI; decoupling",DEFINED
D1,USB SuperSpeed ESD,TI TPD4EUSB30DQAR,Bottom,SI_REVIEW,"ground vias at device",DEFINED
D2,USB 2 ESD,TI TPD2EUSB30ADRTR,Bottom,SI_REVIEW,"ground vias at device",DEFINED
D9,VBUS TVS,TBD low-profile TVS,Top,SELECTION_REQUIRED,"surge return path",OPEN
U12,USB orientation mux,TI HD3SS3212IRKSR,Bottom,VERIFY_LAND_PATTERN,"bias and decoupling",DEFINED
U8,System 5V buck,TI TPS56637RPAR,Top,VERIFY_LAND_PATTERN,"L1; input/output ceramics; feedback; bootstrap",CALC_REQUIRED
U9,Motor 6V buck,TI TPS56637RPAR,Top,VERIFY_LAND_PATTERN,"L2; input/output ceramics; feedback; bootstrap",CALC_REQUIRED
U5,System PMIC,NXP MPF0900AVNA2ES,Top,SOURCE_IDENTIFIED,"L5-L9; rail capacitors; sequence/control",PINMAP_REVIEW
U6,SoC regulator,NXP MPF5302BVNAAEP,Top,SOURCE_IDENTIFIED,"L3; input/output ceramics; sense/compensation",PINMAP_REVIEW
U7,CPU regulator,NXP MPF5301BVNABEP,Top,SOURCE_IDENTIFIED,"L4; input/output ceramics; sense/compensation",PINMAP_REVIEW
U1,Application processor,NXP MIMX9596CVTXNAC,Top,OFFICIAL_SYMBOL_REQUIRED,"C120-C219 provisional decoupling field",TBD_PINMAP
U4,4GB LPDDR4X,Micron MT53E1G32D2FW-046 AAT:B,Top,OFFICIAL_SYMBOL_REQUIRED,"C220-C259 provisional decoupling/termination",DDR_GATE
U15,32GB eMMC,Micron MTFC32GBCAQTC-AAT,Bottom,OFFICIAL_SYMBOL_REQUIRED,"local decoupling; CLK damping option",TBD_PINMAP
U2,Face camera bridge,Lattice LIFCL-17 csfBGA121,Top,COMPILE_REQUIRED,"core regulator; bank caps; config pulls",FPGA_GATE
U3,Interaction camera bridge,Lattice LIFCL-17 csfBGA121,Top,COMPILE_REQUIRED,"core regulator; bank caps; config pulls",FPGA_GATE
