Net_or_group,Source,Destination,Class,Nominal,State,Layout_intent
USB_VBUS,J1,U10/TVS,POWER,5/9/15V,DEFINED,"Short wide input path; TVS at receptacle"
VBUS_PROTECTED,U10,U8/U9,POWER,5/9/15V,DEFINED,"Kelvin sense; protected plane; inrush-controlled"
SYS_5V,U8,U5/U6/U7/local rails,POWER,5V,DEFINED,"High-current plane; converter hot loop isolated"
MOTOR_6V,U9,U13/U14,POWER,6V,DEFINED,"Switched only for PD >=9V; isolated from camera corridor"
SYS_3V3,U5,control/eMMC/head switches,POWER,3.3V,DEFINED,"Plane with separate head filters"
SYS_1V8,U5,U1/U2/U3/clock/control,POWER,1.8V,DEFINED,"FPGA bank allocation must match compile"
DDR_VDDQ,U5,U4,POWER,0.6V,DDR_GATE,"Local low-impedance plane in DDR neighborhood"
DDR_VDD2,U5,U4,POWER,1.1V,DDR_GATE,"Local low-impedance plane in DDR neighborhood"
IMX_ANA_0V8,U5,U1,POWER,0.8V,PINMAP_GATE,"Filter and decouple per NXP rail groups"
VDD_SOC,U6,U1,POWER,0.7-1.0V,PINMAP_GATE,"15A-class short polygon; remote sense if required"
VDD_ARM,U7,U1,POWER,0.7-1.0V,PINMAP_GATE,"8A-class short polygon; remote sense if required"
FPGA_FACE_1V0,local regulator,U2,POWER,1.0V,FPGA_GATE,"Point-of-load beside U2"
FPGA_INTERACTION_1V0,local regulator,U3,POWER,1.0V,FPGA_GATE,"Point-of-load beside U3"
HEAD_FACE_3V3,load switch,J2,POWER,3.3V,DEFINED,"Filtered; current measured; eight parallel contacts"
HEAD_INTERACTION_3V3,load switch,J3,POWER,3.3V,DEFINED,"Filtered; current measured; eight parallel contacts"
USB_CC1_CC2,J1,U11,LOW_SPEED,USB-C,DEFINED,"Protected; keep away from switch nodes"
USB2_DP_DM,J1,U1,DIFF_90,480Mb/s,PINMAP_GATE,"D2 near J1; no PD-controller traversal"
USB3_TX_RX,J1,U12/U1,DIFF_90,USB3,PINMAP_GATE,"J1-D1-U12-U1 in one short corridor"
PD_HPI_I2C,U11,U1_M7,LOW_SPEED,1.8/3.3V,PINMAP_GATE,"Trusted power-state input; level shift if required"
PD_FAULT_N,U11,U1_M7,CONTROL,default_safe,PINMAP_GATE,"Hardware pull to restricted operating state"
SYS_24MHZ,Y1,U1,CLOCK,24MHz,PINMAP_GATE,"NXP-compatible oscillator and reset timing"
SENSOR_24MHZ,Y2/U17,J2/J3,CLOCK,24MHz,DEFINED,"Four buffered outputs; one per RGB/IR sensor"
FACE_RGB_CSI,J2,U2,DIFF_100,2lane,FLEX_GATE,"Clock plus two lanes with dedicated returns"
FACE_IR_CSI,J2,U2,DIFF_100,2lane,FLEX_GATE,"Clock plus two lanes with dedicated returns"
FACE_AGG_CSI,U2,U1_CSI0,DIFF_100,4lane,FPGA_GATE,"Clock plus four lanes; shortest legal corridor"
INTERACTION_RGB_CSI,J3,U3,DIFF_100,2lane,FLEX_GATE,"Clock plus two lanes with dedicated returns"
INTERACTION_IR_CSI,J3,U3,DIFF_100,2lane,FLEX_GATE,"Clock plus two lanes with dedicated returns"
INTERACTION_AGG_CSI,U3,U1_CSI1,DIFF_100,4lane,FPGA_GATE,"Clock plus four lanes; shortest legal corridor"
FPGA_CFG_SPI,U1,U2/U3,HIGH_SPEED_DIGITAL,1.8V,PINMAP_GATE,"Shared CLK/data; independent chip selects"
FPGA_FACE_PROGRAM_STATUS,U1,U2,CONTROL,1.8V,FPGA_GATE,"PROGRAMN INITN DONE and reset are independent"
FPGA_INTERACTION_PROGRAM_STATUS,U1,U3,CONTROL,1.8V,FPGA_GATE,"PROGRAMN INITN DONE and reset are independent"
FACE_HEAD_I2C,U1_M7,J2,LOW_SPEED,1.8/3.3V,FLEX_GATE,"Address audit; mux footprint only if conflict remains"
INTERACTION_HEAD_I2C,U1_M7,J3,LOW_SPEED,1.8/3.3V,FLEX_GATE,"Address audit; mux footprint only if conflict remains"
FACE_HEAD_CONTROL,U1_M7,J2,CONTROL,default_off,FLEX_GATE,"RGB/IR reset; trigger; projector enable/fault; interlock"
INTERACTION_HEAD_CONTROL,U1_M7,J3,CONTROL,default_off,FLEX_GATE,"RGB/IR reset; trigger; projector enable/fault; interlock"
LPDDR4X_BUS,U1,U4,DDR,4000MT/s,DDR_GATE,"No vias/connectors/switch nodes in routing corridor"
EMMC_BUS,U1,U15,HIGH_SPEED_DIGITAL,eMMC5.1,PINMAP_GATE,"8-bit local bus; controlled CLK; reset"
BOARD_I2C,U1_M7,U16/U20/U18/U19,LOW_SPEED,1.8/3.3V,PINMAP_GATE,"Address and level audit before pull-up population"
MOTOR_FACE_DRIVE,U13,J4,POWER_PWM,6V,DEFINED,"Short loop; bulk cap; away from MIPI and microphone"
MOTOR_INTERACTION_DRIVE,U14,J5,POWER_PWM,6V,DEFINED,"Short loop; bulk cap; away from MIPI and microphone"
MOTOR_FACE_CONTROL,U1_M7,U13,CONTROL,3.3V,PINMAP_GATE,"PWM IN1/IN2; IPROPI ADC; nSTALL; nFAULT"
MOTOR_INTERACTION_CONTROL,U1_M7,U14,CONTROL,3.3V,PINMAP_GATE,"PWM IN1/IN2; IPROPI ADC; nSTALL; nFAULT"
FACE_QUAD_ENCODER,J4,U1_M7,CONTROL,3.3V,PINMAP_GATE,"A/B filtered inputs; independent from absolute angle"
INTERACTION_QUAD_ENCODER,J5,U1_M7,CONTROL,3.3V,PINMAP_GATE,"A/B filtered inputs; independent from absolute angle"
PDM_CLK_DATA,U1_MICFIL,MK1,HIGH_SPEED_DIGITAL,1.8V,PINMAP_GATE,"Acoustic keep-out; no switching copper beneath port"
CASE_TAMPER_N,SW1,U1_M33_or_M7,ALWAYS_ON,fail_open,PINMAP_GATE,"Debounced; enclosure-open is unambiguous"
TEMP_ALERT_N,U20,U1_M33_or_M7,ALWAYS_ON,open_drain,PINMAP_GATE,"Near i.MX thermal path"
CHASSIS_SHELL,J1_shell,EMI_network,CHASSIS,n/a,DEFINED,"Distinct from digital ground until controlled EMC join"
