Ref,Selected_part,Required_evidence,Current_evidence,Audit_state,Blocking_issue
U1,NXP MIMX9596CVTXNAC,"548-ball pin list; hardware guide; land pattern; 3D","IMX95IEC Rev 8 identified",PINMAP_REQUIRED,"Current KiCad footprint is a generic 324-ball BGA"
U2-U3,Lattice LIFCL-17 csfBGA121,"FPGA-SC-02006 pinout; package drawing; Radiant assignment","Official pinout and family data identified",COMPILE_REQUIRED,"Legal DeepReal MIPI assignment not compiled"
U4,Micron MT53E1G32D2FW-046 AAT:B,"200-ball pin map; land pattern; NXP DDR configuration","Production part identified",DDR_GATE,"Pin map and NXP DDR-tool output not audited"
U5,NXP MPF0900AVNA2ES,"Official symbol; HVQFN56 land pattern; OTP/sequence","PF09 data source identified",REVIEW_REQUIRED,"Rail allocation and OTP not approved"
U6,NXP MPF5302BVNAAEP,"Official symbol; H-FC-PQFN24 land pattern; reference circuit","PF53 source identified",FOOTPRINT_MISMATCH,"Current KiCad proxy is 4 x 4 mm instead of 3.5 x 4.5 mm"
U7,NXP MPF5301BVNABEP,"Official symbol; H-FC-PQFN24 land pattern; reference circuit","PF53 source identified",FOOTPRINT_MISMATCH,"Current KiCad proxy is 4 x 4 mm instead of 3.5 x 4.5 mm"
U8-U9,TI TPS56637RPAR,"RPA land pattern; reference design; inductor/compensation calculations","TI product source identified",CALC_REQUIRED,"Current proxy does not prove RPA pad geometry or power loop"
U10,TI TPS259472LRPWR,"RPW land pattern; ILIM/dVdt/IMON calculations","TI product source identified",REVIEW_REQUIRED,"Exact support network not captured"
U11,Infineon CYPD3177-24LQXQ,"QFN24 land pattern; BCR configuration; reference design","Infineon datasheet identified",REVIEW_REQUIRED,"PD configuration and HPI circuit not captured"
U12,TI HD3SS3212IRKSR,"RKS land pattern; USB routing reference","TI product source identified",REVIEW_REQUIRED,"Exact pad mapping and USB topology not captured"
U13-U14,TI DRV8213RTER,"RTE land pattern; current/stall calculations","TI product source identified",REVIEW_REQUIRED,"Current limit and motor interface not captured"
U15,Micron MTFC32GBCAQTC-AAT,"153-ball pin map; land pattern; boot guidance","Production part identified",PINMAP_REQUIRED,"Official pin map not audited"
U16,Microchip AT24C64D-MAHM-T,"MAHM land pattern and pin audit","Product source identified",REVIEW_REQUIRED,"Generic DFN proxy needs audit"
U17,TI LMK1C1104DQFR,"DQF land pattern; clock/jitter requirements","Product source identified",REVIEW_REQUIRED,"Clock source and output assignments open"
U18-U19,ams OSRAM AS5600L-AWLM,"15-ball pin map and WLCSP land pattern","Datasheet source identified",FOOTPRINT_MISMATCH,"Current KiCad proxy is a 16-ball WLCSP"
U20,TI TMP117AIDRVR,"DRV land pattern and address audit","Product source identified",REVIEW_REQUIRED,"Generic WSON proxy needs pad audit"
U21-U22,TBD head load switch/current monitor,"Part selection; protection; current monitor range",None,SELECTION_REQUIRED,"No selected device"
MK1,TDK MMICT3902-00-012,"Exact LGA land pattern; acoustic application note","Product source identified",ACOUSTIC_REVIEW,"Port and keep-out not captured in KiCad"
D1,TI TPD4EUSB30DQAR,"DQA land pattern; USB SI model","Product source identified",SI_REVIEW,"Placement and return-via structure unproven"
D2,TI TPD2EUSB30ADRTR,"DRT SOT-9X3 land pattern; USB SI model","Product source identified",FOOTPRINT_MISMATCH,"Current KiCad proxy is USON-10"
D3-D8,TI TPD4E05U06DQAR,"DQA land pattern; MIPI capacitance/SI review","Product source identified",SI_REVIEW,"Not represented as registered exact footprints"
D9,TBD low-profile VBUS TVS,"Part selection; surge rating; package",None,SELECTION_REQUIRED,"Current SMA proxy is not a selected part"
J1,Hirose CX90M3-24P,"Official drawing; exact land pattern; STEP; shell strategy; supported PCB thickness","Official product record and STEP available",MECHANICAL_CONFLICT,"Current KiCad uses an Amphenol footprint; selected Hirose lists 0.8 mm max recommended PCB thickness versus the 1.6 mm board"
J2-J3,Hirose FH26W-51S-0.3SHW(97),"Official drawing; pad numbering; mating orientation; flex continuity","Product identified",ORIENTATION_REQUIRED,"Contact orientation and flex stack-up not approved"
J4-J5,TBD 6-position motor/encoder connector,"Exact part; mating system; land pattern",None,SELECTION_REQUIRED,"Generic pin-header proxy only"
SW1,Omron D3SK-B1R,"Exact actuator drawing; land pattern; tolerance","Product source identified",MECHANICAL_REVIEW,"Actuation direction not reconciled with enclosure"
Y1-Y2,TBD 24 MHz oscillators,"Part selection; jitter; startup; land pattern",None,SELECTION_REQUIRED,"No selected devices"
J6,TBD debug/recovery interface,"Signal set; connector/pad selection; access envelope",None,SELECTION_REQUIRED,"No selected interface"
TP1-TP32,TBD test points,"DFT access list; pad geometry; probe clearance",None,DFT_REQUIRED,"Current visual pads are illustrative"
