Rail,Source,Nominal_V,Design_current_A,Short_peak_A,Primary_loads,Status_or_basis
USB_VBUS,USB-C source,5/9/15,3.0,3.0,All product power,"15 V preferred; negotiated by CYPD3177"
VBUS_PROTECTED,TPS259472LRPWR,5/9/15,3.0,3.0,Input buck converters,"Set eFuse limit after inrush model; 45 W ceiling"
SYS_5V,TPS56637RPAR,5.0,4.0,6.0,"PF09; PF53 inputs; FPGA/head regulators; USB support","Estimate; verify efficiency and thermal rise"
MOTOR_6V,TPS56637RPAR,6.0,0.6,1.5,"Two DRV8213 and Pololu 5137 motors","Disabled below 9 V PD; 0.67 A theoretical stall per motor"
VDD_SOC,MPF5302BVNAAEP,0.7-1.0,TBD,15.0,i.MX95 SoC core,"NXP i.MX95 programmed PF53; 15 A device class is not expected DC load"
VDD_ARM,MPF5301BVNABEP,0.7-1.0,TBD,8.0,i.MX95 Cortex-A55 cluster,"NXP i.MX95 programmed PF53; 8 A device class is not expected DC load"
SYS_3V3,PF09 SW1,3.3,2.2,3.5,"eMMC IO; control; head power; misc","Budget assumes one projector pulse at a time; validate PF09 allocation"
SYS_1V8,PF09 SW3,1.8,1.5,2.5,"i.MX IO; FPGA IO; clock/control","Estimate; confirm FPGA bank allocation"
DDR_VDDQ,PF09 SW4,0.6,TBD,2.5,LPDDR4X VDDQ,"PF09 LPDDR4X OTP baseline; calculate with DDR tool"
DDR_VDD2,PF09 SW5,1.1,TBD,2.5,LPDDR4X VDD2,"PF09 LPDDR4X OTP baseline; calculate with DDR tool"
IMX_ANA_0V8,PF09 SW2,0.8,TBD,2.5,i.MX95 analog domains,"NXP simplified i.MX95 application; calculate from use case"
FPGA_CORE_A,Local point-of-load,1.0,0.8,1.2,Face LIFCL-17,"Estimate pending Radiant power calculator"
FPGA_CORE_B,Local point-of-load,1.0,0.8,1.2,Interaction LIFCL-17,"Estimate pending Radiant power calculator"
FACE_HEAD_3V3,SYS_3V3 filtered,3.3,0.55,0.9,"RGB/IR local rails; AS1170; Belago pulse storage","Estimate; eight parallel flex contacts before system derating"
INTERACTION_HEAD_3V3,SYS_3V3 filtered,3.3,0.55,0.9,"RGB/IR local rails; AS1170; Belago pulse storage","Estimate; eight parallel flex contacts before system derating"
RGB_1V1_FACE,Head local buck,1.1,0.6,0.7,SA31VA30P,"Raspberry Pi reference maximum load"
RGB_1V1_INTERACTION,Head local buck,1.1,0.6,0.7,SA31VA30P,"Raspberry Pi reference maximum load"
RGB_1V8_EACH,Head local LDO,1.8,0.05,0.08,SA31VA30P,"Raspberry Pi reference maximum load"
RGB_2V8_EACH,Head local LDO,2.8,0.05,0.08,SA31VA30P,"Raspberry Pi reference maximum load"
IR_2V5_EACH,Head local regulator,2.5,0.2,0.35,Mira220,"350 mA documented startup interval"
IR_1V35_EACH,Head local regulator,1.35,0.15,0.25,Mira220,"Estimate; finalize from selected mode and datasheet tables"
IR_1V8_EACH,Head local regulator,1.8,0.1,0.2,Mira220,"Estimate; finalize from selected mode and datasheet tables"
